gene_id,gene_name,tpm
AT1G05680,UGT74E2,29
AT1G05687,AT1G05687,0.2
AT1G05690,BT3,3
AT1G05693,AT1G05693,0.1
AT1G05703,AT1G05703,
AT1G05707,AT1G05707,
AT1G05710,AT1G05710,7
AT1G05720,AT1G05720,21
AT1G05730,AT1G05730,1
AT1G05740,AT1G05740,
AT1G05750,PDE247,3
AT1G05757,AT1G05757,
AT1G05763,AT1G05763,0.6
AT1G05770,JAL2,0.2
AT1G05773,AT1G05773,3
AT1G05777,AT1G05777,0.5
AT1G05780,AT1G05780,9
AT1G05783,AT1G05783,3
AT1G05785,AT1G05785,7
AT1G05790,AT1G05790,19
AT1G05800,DGL,
AT1G05805,BHLH128,10
AT1G05810,ARA,7
AT1G05817,AT1G05817,
AT1G05820,SPPL5,0.8
AT1G05830,ATX2,9
AT1G05833,AT1G05833,0.2
AT1G05835,AT1G05835,0.2
AT1G05840,AT1G05840,33
AT1G05850,CTL1,302
AT1G05860,AT1G05860,7
AT1G05867,AT1G05867,0.1
AT1G05870,AT1G05870,5
AT1G05880,ARI12,
AT1G05890,ARI5,42
AT1G05894,AT1G05894,0.6
AT1G05900,NTH2,7
AT1G05907,AT1G05907,
AT1G05910,AT1G05910,10
AT1G05913,AT1G05913,
AT1G05933,AT1G05933,0.2
AT1G05937,AT1G05937,3
AT1G05940,CAT9,15
AT1G05950,AT1G05950,1
AT1G05957,AT1G05957,
AT1G05960,AT1G05960,12
AT1G05963,AT1G05963,0.1
AT1G05967,AT1G05967,0.2
AT1G05970,AT1G05970,8
AT1G05977,AT1G05977,
AT1G05983,AT1G05983,
AT1G05987,AT1G05987,0.1
AT1G05990,CML7,
AT1G05993,AT1G05993,0.5
AT1G05997,AT1G05997,1
AT1G06010,AT1G06010,40
AT1G06017,AT1G06017,
AT1G06020,AT1G06020,0.3
AT1G06023,AT1G06023,0.2
AT1G06027,AT1G06027,0.2
AT1G06030,AT1G06030,
AT1G06033,AT1G06033,5
AT1G06040,BBX24,44
AT1G06050,AT1G06050,11
AT1G06057,AT1G06057,
AT1G06060,AT1G06060,21
AT1G06070,AT1G06070,13
AT1G06080,ADS1,4
AT1G06083,AT1G06083,10
AT1G06087,AT1G06087,1
AT1G06090,AT1G06090,0.1
AT1G06097,AT1G06097,0.1
AT1G06100,AT1G06100,0.2
AT1G06110,SKIP16,31
AT1G06113,AT1G06113,0.2
AT1G06127,AT1G06127,0.1
AT1G06130,GLX2-4,21
AT1G06140,PCMP-E61,0.9
AT1G06143,EMB1444,1
AT1G06148,AT1G06148,0.9
AT1G06150,EMB1444,4
AT1G06157,AT1G06157,
AT1G06160,ERF094,0.3
AT1G06163,AT1G06163,0.2
AT1G06170,BHLH89,0.1
AT1G06173,AT1G06173,0.3
AT1G06180,ATMYB13,3
AT1G06190,AT1G06190,25
AT1G06200,AT1G06200,75
AT1G06203,AT1G06203,
AT1G06207,AT1G06207,1
AT1G06210,TOL2,33
AT1G06217,AT1G06217,0.1
AT1G06220,CLO,14
AT1G06225,CLE3,
AT1G06227,AT1G06227,19
AT1G06230,GTE4,29
AT1G06240,AT1G06240,5
AT1G06250,AT1G06250,1
AT1G06263,AT1G06263,5
AT1G06265,AT1G06265,2
AT1G06267,AT1G06267,4
AT1G06270,AT1G06270,5
AT1G06273,AT1G06273,3
AT1G06277,AT1G06277,2
AT1G06280,LBD2,0.1
AT1G06283,AT1G06283,3
AT1G06287,AT1G06287,0.1
AT1G06290,ACX3,33
AT1G06307,AT1G06307,
AT1G06310,ACX3.2,
AT1G06313,AT1G06313,
AT1G06320,AT1G06320,0.5
AT1G06340,AT1G06340,
AT1G06343,AT1G06343,
AT1G06350,AT1G06350,0.1
AT1G06360,AT1G06360,0.2
AT1G06377,AT1G06377,
AT1G06380,AT1G06380,7
AT1G06383,AT1G06383,
AT1G06387,AT1G06387,
AT1G06390,ASK9,26
AT1G06400,RABA1A,72
AT1G06407,AT1G06407,3
AT1G06410,TPS7,50
AT1G06413,AT1G06413,
AT1G06420,AT1G06420,0.7
AT1G06430,FTSH8,71
AT1G06440,AT1G06440,1
AT1G06443,AT1G06443,
AT1G06450,CAF1-1,0.8
AT1G06460,ACD32.1,114
AT1G06463,AT1G06463,4
AT1G06470,AT1G06470,14
AT1G06473,AT1G06473,15
AT1G06483,AT1G06483,0.2
AT1G06487,AT1G06487,0.6
AT1G06490,CALS7,0.3
AT1G06493,AT1G06493,
AT1G06497,AT1G06497,
AT1G06500,AT1G06500,14
AT1G06510,AT1G06510,11
AT1G06515,AT1G06515,21
AT1G06520,GPAT1,16
AT1G06533,AT1G06533,
AT1G06537,AT1G06537,2
AT1G06540,AT1G06540,0.1
AT1G06543,AT1G06543,
AT1G06547,AT1G06547,8
AT1G06550,AT1G06550,21
AT1G06553,AT1G06553,2
AT1G06560,AT1G06560,5
AT1G06567,AT1G06567,1
AT1G06570,HPD,86
AT1G06573,AT1G06573,4
AT1G06577,AT1G06577,3
AT1G06580,AT1G06580,2
AT1G06583,AT1G06583,1
AT1G06590,APC5,2
AT1G06593,AT1G06593,0.2
AT1G06607,AT1G06607,
AT1G06620,AT1G06620,5
AT1G06623,AT1G06623,
AT1G06627,AT1G06627,0.1
AT1G06630,AT1G06630,16
AT1G06640,AT1G06640,31
AT1G06645,AT1G06645,15
AT1G06650,AT1G06650,21
AT1G06660,JASON,0.8
AT1G06667,AT1G06667,0.9
AT1G06670,NIH,10
AT1G06680,PSBP1,323
AT1G06687,AT1G06687,3
AT1G06690,AT1G06690,12
AT1G06693,AT1G06693,3
AT1G06700,PTI11,34
AT1G06707,AT1G06707,0.2
AT1G06710,AT1G06710,0.9
AT1G06713,AT1G06713,
AT1G06717,AT1G06717,0.7
AT1G06720,AT1G06720,10
AT1G06727,AT1G06727,0.7
AT1G06730,AT1G06730,7
AT1G06733,AT1G06733,2
AT1G06737,AT1G06737,0.2
AT1G06740,AT1G06740,3
AT1G06743,AT1G06743,0.6
AT1G06747,AT1G06747,
AT1G06750,AT1G06750,0.2
AT1G06753,AT1G06753,2
AT1G06757,AT1G06757,0.3
AT1G06760,AT1G06760,98
AT1G06770,DRIP1,5
AT1G06773,AT1G06773,0.2
AT1G06780,GAUT6,8
AT1G06790,AT1G06790,6
AT1G06800,PLA-I{gamma}1,2
AT1G06810,AT1G06810,
AT1G06817,AT1G06817,
AT1G06820,CRTISO,8
AT1G06830,GRXS11,0.4
AT1G06837,AT1G06837,1
AT1G06840,AT1G06840,5
AT1G06850,AtbZIP52,4
AT1G06857,AT1G06857,
AT1G06863,AT1G06863,0.1
AT1G06867,AT1G06867,0.1
AT1G06870,TPP2,9
AT1G06877,AT1G06877,6
AT1G06890,UXT3,24
AT1G06900,AT1G06900,11
AT1G06907,AT1G06907,
AT1G06910,TRFL7,5
AT1G06917,AT1G06917,
AT1G06920,OFP4,
AT1G06925,AT1G06925,
AT1G06950,TIC110,20
AT1G06953,AT1G06953,0.4
AT1G06957,AT1G06957,0.4
AT1G06960,AT1G06960,11
AT1G06970,CHX14,
AT1G06977,AT1G06977,1
AT1G06980,AT1G06980,
AT1G06983,AT1G06983,0.2
AT1G06987,AT1G06987,0.1
AT1G06990,AT1G06990,
AT1G06993,AT1G06993,0.1
AT1G07000,ATEXO70B2,6
AT1G07003,AT1G07003,
AT1G07007,AT1G07007,0.8
AT1G07010,AT1G07010,16
AT1G07013,AT1G07013,0.1
AT1G07020,AT1G07020,12
AT1G07023,AT1G07023,
AT1G07025,AT1G07025,
AT1G07027,AT1G07027,
AT1G07030,AT1G07030,25
AT1G07040,AT1G07040,126
AT1G07050,AT1G07050,5
AT1G07060,AT1G07060,0.3
AT1G07070,RPL35AA,12
AT1G07080,AT1G07080,103
AT1G07090,LSH6,12
AT1G07110,FKFBP,22
AT1G07119,AT1G07119,0.3
AT1G07120,AT1G07120,0.4
AT1G07123,AT1G07123,
AT1G07128,AT1G07128,0.1
AT1G07135,AT1G07135,66
AT1G07140,RANBP1A,120
AT1G07143,AT1G07143,0.4
AT1G07150,MAPKKK13,11
AT1G07160,AT1G07160,0.4
AT1G07167,AT1G07167,
AT1G07170,AT1G07170,18
AT1G07175,AT1G07175,0.2
AT1G07180,NDA1,7
AT1G07183,AT1G07183,
AT1G07187,AT1G07187,4
AT1G07190,AT1G07190,
AT1G07200,SMXL6,8
AT1G07210,AT1G07210,24
AT1G07220,AT1G07220,5
AT1G07230,NPC1,35
AT1G07240,UGT71C5,13
AT1G07243,AT1G07243,0.6
AT1G07250,UGT71C4,21
AT1G07260,UGT71C3,4
AT1G07267,AT1G07267,0.1
